SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2014,R23000,à§ímåß,7464000,3729000,3734000,7303000,3655000,3648000,1041000,534000,507000,4686000,2419000,2267000,1728000,772000,956000,65218,33649,31569,1.46,62426,33441,28985,109405,64931,44474,103215,60431,42784,41410,12780,16.1,32.3,0.5,107,1505.5,39352,9055568,1277,55480,96200,284500,521,5728,96825,984,23170,416989,443,13705,219348,73625,68621,220,12349,198951,63156,37126,22,51,527,10776,8791,171910,3888,266,38753,3552,179,83,47937,12721,183516,781857,1137975,51849,46551,214355,13405060,1463330,55204,19168,20366,15125,5075912,2456641,1546412,1048542,2551069.0,934,22.3,283,5227,3695,1233,152769,107,142840,16724,306464,78416,11341,24563,11948,14575,13546,44676,11813,34127,61460
2013,R23000,à§ímåß,7449000,3722000,3727000,7293000,3650000,3643000,1049000,538000,511000,4732000,2439000,2293000,1662000,741000,921000,66825,34137,32688,1.47,62395,33286,29109,111461,66014,45447,103570,60498,43072,42302,13077,16.4,34.5,0.0,88,1463.5,47178,10262700,1313,56017,95800,253300,521,5702,97842,983,23077,419848,443,13687,221212,74427,69366,220,12183,195504,61326,35848,22,52,531,10643,8986,172617,3916,272,38687,3562,177,87,46731,13309,199794,871598,1163470,54914,49030,219408,12379980,1116730,63974,24614,21642,17515,6216392,3179667,1805664,1212633,2572076.0,940,22.7,288,5161,3687,1174,146552,452,136813,15840,306559,74707,14886,23595,10033,14263,10573,45087,13858,31757,67801
2012,R23000,à§ímåß,7431000,3713000,3718000,7279000,3643000,3636000,1056000,542000,514000,4780000,2460000,2319000,1591000,709000,882000,67913,35013,32900,1.46,61354,32902,28452,110624,65421,45203,103032,60281,42751,42704,13494,15.8,33.4,0.4,96,1567.5,43452,9375455,1371,56001,101800,253100,522,5697,98891,985,22983,423742,440,13589,220898,72932,67909,220,12256,194965,62695,36542,23,51,545,10499,9189,171679,3927,253,37969,3529,176,96,46413,13282,221382,949781,1027718,56686,51297,259968,11529700,917520,57660,22756,18947,15584,5650460,2956185,1613641,1060865,2581137.0,945,22.9,287,5108,3682,1182,149047,1207,139906,15865,253787,69088,14579,21847,8674,10730,9837,28591,11845,27424,51171
2011,R23000,à§ímåß,7418000,3707000,3712000,7263000,3634000,3629000,1063000,545000,518000,4824000,2480000,2344000,1530000,680000,850000,68973,35374,33599,1.46,59720,32206,27514,108601,63245,45356,102222,59525,42697,42425,13451,16.1,32.7,-0.7,98,1785.5,40934,8407721,1439,57323,101200,253200,522,5644,97925,983,22942,430770,439,13414,219695,72411,67416,220,12135,192780,60584,35462,24,51,567,10412,9643,172004,4312,300,37902,3736,176,100,44481,13715,236173,1015112,916509,60233,54953,266364,10872110,685730,55778,22144,18347,14802,5540733,2895159,1557691,1055046,2599435.0,974,23.4,288,5058,3672,1143,144524,1422,134999,15337,269308,71971,14452,22263,8773,13221,11766,34387,11238,29263,51974
2010,R23000,à§ímåß,7410719,3704220,3706499,7174451,3587216,3587235,1065254,545767,519487,4791445,2457337,2334108,1492085,664750,827335,69872,36069,33803,1.52,58477,31914,26563,105769,61669,44100,107031,62767,44264,45039,14253,16.6,34.1,1.0,102,1730,41003,8153860,1503,57810,101400,256400,523,5584,97605,983,22924,435821,438,13230,215822,70681,65859,222,12193,191707,60168,35445,26,51,586,10267,9824,171296,4333,287,37586,3777,177,105,43418,13754,252846,1112534,705381,57826,53855,279921,11443520,1070180,57627,23439,19899,13758,5643728,3061422,1436173,1117196,2607242.0,981,23.5,289,5040,3646,1123,142954,744,132487,14948,302742,73734,18889,21609,10860,12785,11653,34825,18960,36351,63076
2009,R23000,à§ímåß,7411000,3712000,3700000,7234000,3626000,3608000,1087000,559000,528000,4860000,2512000,2349000,1471000,658000,813000,69768,35721,34047,1.43,55189,29977,25212,120530,72527,48003,116455,70112,46343,45790,14513,16.5,31.9,1.3,103,1755.5,36995,7602818,1542,58336,102600,273200,525,5661,98480,990,22904,439379,438,13200,215509,72449,67412,222,12045,188093,59261,35567,26,51,630,10115,10214,169198,4824,358,36578,4013,183,106,41980,13418,271394,1311406,575369,50632,48234,265652,9396620,704180,54453,20696,22433,11047,5050559,2743276,1135529,1156093,2668558.0,1010,23.5,293,5030,3635,1153,144677,778,133904,14728,288259,71809,18227,21901,9035,14578,12447,33472,15908,31692,59192
2020,R24000,éOèdåß,1770254,864475,905779,1698876,829130,869746,211090,108019,103071,997052,506124,490928,522073,228250,293823,11141,5809,5332,1.42,20716,10502,10214,25108,15112,9996,29419,16972,12447,6855,2759,17.1,33.6,3.8,109,1787,8196,1723491,1284,30593,28500,63000,179,1373,12874,372,6847,91910,168,3772,47472,15615,14697,70,3472,45829,15116,7940,4,7,83,1268,1415,14064,666,63,3129,388,37,37,4207,2052,39694,182568,192871,9172,9595,14679,4484250,46820,9508,4983,2371,1587,894944,596163,165279,112591,622282.0,947,20.4,81,1504,816,429,45963,81,39969,5069,285114,73364,15410,19790,14676,8679,12212,52476,9353,26012,53140
2019,R24000,éOèdåß,1783000,871000,912000,1734000,845000,888000,218000,111000,106000,1034000,528000,506000,530000,231000,299000,11690,5983,5707,1.47,20811,10680,10131,25345,15485,9860,31596,18103,13493,7743,2864,16.9,32.1,2.7,109,1630,8901,1566920,1293,30664,28800,63400,184,1425,13909,373,6917,93515,168,3819,47916,16342,15441,70,3535,47154,15384,7859,4,7,83,1274,1467,13969,699,65,3070,336,38,41,4065,2395,40344,164288,247409,11060,11642,53945,6586240,352750,10450,5401,3719,1174,961563,648577,130095,176541,628172.0,947,23.1,81,1519,822,432,45885,109,39806,4831,311319,74195,18778,20635,13003,10572,14486,56808,10646,31240,60957
2018,R24000,éOèdåß,1793000,875000,918000,1749000,853000,897000,222000,113000,109000,1042000,531000,511000,527000,230000,297000,12582,6404,6178,1.54,20900,10555,10345,26419,15984,10435,30644,17491,13153,7446,2929,16.9,33.2,1.2,108,1720,9191,1940730,1372,31345,29100,63500,195,1497,15149,375,6984,95086,170,3876,48625,16867,15998,70,3634,48350,15738,7802,4,7,88,1274,1447,13869,649,55,2995,383,39,47,4156,2788,41949,164922,267427,12296,12828,52110,6800920,314140,10613,5419,3789,1324,991581,660549,144530,182200,629059.0,947,26.4,82,1529,829,427,44329,80,39319,5044,283443,75275,17001,20370,13540,11111,14263,36760,7780,30183,57159
2017,R24000,éOèdåß,1801000,877000,924000,1762000,858000,904000,226000,116000,110000,1051000,533000,518000,522000,228000,294000,12663,6490,6173,1.49,20531,10468,10063,25633,15206,10427,29696,16680,13016,7937,2784,16.1,31.8,2.2,98,1679.5,8906,1976647,1394,31260,29300,63900,215,1585,16690,379,7023,95480,171,3988,50428,17430,16595,72,3663,48919,15695,7936,4,7,86,1261,1430,13742,687,60,3060,380,39,48,4254,2853,43037,168468,259904,13000,13614,49352,6843660,306780,9894,5202,3307,1298,950862,636186,140120,170707,629772.0,943,27.2,86,1525,837,411,42877,100,38530,5290,293824,74010,13446,19988,12208,12380,12839,38394,17268,28966,64325
2016,R24000,éOèdåß,1809000,881000,928000,1775000,864000,910000,231000,118000,113000,1062000,538000,524000,516000,225000,291000,13202,6806,6396,1.51,19830,10131,9699,25728,15260,10468,29325,16807,12518,8174,2923,16.9,32.2,2.9,115,1785.5,9444,2083131,1457,31891,30400,62200,224,1632,18060,394,7084,96695,174,4083,51664,17513,16739,73,3696,49843,16212,8249,3,7,83,1255,1470,13615,682,67,3018,414,40,51,4300,2961,47153,186544,240994,14137,14812,46768,6937100,327580,10812,5468,4040,1237,1030797,681375,137879,207883,636393.0,950,27.4,87,1523,850,403,42051,101,38296,5191,296627,71125,14259,20328,11380,11966,12617,39905,10494,27705,76848
2015,R24000,éOèdåß,1815865,883516,932349,1776805,865150,911655,233525,119471,114054,1061577,534265,527312,501046,218388,282658,13950,7153,6797,1.56,20139,10294,9845,26736,15836,10900,30954,17766,13188,8504,3125,16.6,31.3,2.7,115,1979,9018,1841135,1541,32499,31200,62700,232,1659,18269,402,7038,97776,175,4125,52667,17852,17115,72,3708,50147,15952,8052,3,7,84,1246,1439,13657,641,58,3022,409,42,55,4241,3154,51869,205330,237974,14796,15737,42181,6580160,294230,10066,5279,3252,1499,998505,660868,162283,172225,644756.0,959,28.5,88,1530,849,402,41785,98,38324,5165,300668,69215,24440,21362,12231,10966,14125,41703,9379,30834,66413
2014,R24000,éOèdåß,1826000,888000,937000,1795000,874000,921000,241000,123000,118000,1089000,551000,538000,495000,215000,280000,13727,7033,6694,1.45,19525,9921,9604,26337,15491,10846,29176,16627,12549,8555,3098,16.1,30.9,1.4,100,1589,9240,1748578,1597,32847,31800,63700,246,1710,19224,405,7098,99358,176,4132,53040,17797,17011,72,3748,50583,15988,8234,3,7,85,1225,1446,13608,665,68,3044,382,43,58,4008,3228,54636,213926,239456,15928,16925,41885,6593790,150580,9734,5369,2902,1438,990991,677143,154855,156684,650102.0,975,29.7,89,1527,856,400,39194,48,37908,5315,301337,69211,25492,21632,14394,11851,13230,41829,7253,30902,65544
2013,R24000,éOèdåß,1833000,892000,941000,1803000,878000,925000,245000,125000,120000,1108000,560000,548000,480000,208000,273000,14514,7451,7063,1.49,19690,10133,9557,26747,15673,11074,29973,16905,13068,8844,3281,16.5,33.4,1.6,86,1393.5,10881,2036822,1653,33191,32300,64000,254,1690,19650,415,7167,100903,181,4169,53920,18382,17622,72,3764,50220,15798,8127,3,8,86,1232,1436,13643,636,55,3067,420,41,57,4006,2965,58239,240392,226860,17320,18311,43102,6750300,113950,10858,6691,2822,1316,1155599,849760,147360,154638,656900.0,982,30.1,90,1528,861,407,39029,27,37581,5189,289603,66398,9880,23825,12118,12241,12976,44711,7861,32463,67130
2012,R24000,éOèdåß,1841000,896000,945000,1811000,882000,929000,248000,127000,121000,1128000,569000,558000,465000,200000,264000,14729,7492,7237,1.47,19210,9934,9276,27750,16386,11364,29859,17239,12620,9006,3237,15.9,31.8,1.8,102,1714,9808,1953336,1691,32813,34200,66200,258,1779,20094,417,7152,102580,183,4175,54143,18120,17398,72,3814,50645,16424,8349,3,8,86,1220,1453,13595,692,71,2940,424,41,60,3966,3073,64012,262258,196640,17430,18418,54100,6103630,86490,9777,6102,2327,1308,1053269,777840,143347,128278,659502.0,976,30.7,89,1523,854,419,40066,41,38646,5334,286223,62968,14168,21494,11045,10904,12900,48747,9839,32908,61250
2011,R24000,éOèdåß,1847000,900000,948000,1817000,885000,932000,251000,128000,123000,1145000,577000,567000,451000,194000,257000,15080,7742,7338,1.47,19271,10038,9233,28019,16548,11471,28987,16646,12341,8947,3264,16.1,31.3,0.9,100,1751.5,9546,1740554,1711,33153,34900,66800,259,1726,20051,421,7150,104557,184,4171,54609,18224,17474,73,3840,50654,16074,8338,4,8,84,1226,1543,13669,691,58,3073,479,42,61,3862,3062,65474,271958,179892,18393,19465,53894,6020150,77380,9360,6115,2230,942,1020536,780054,106749,128833,654142.0,967,30.7,89,1506,856,406,38696,40,37074,5245,299461,66165,15599,21556,10982,12931,13334,37554,13885,33453,74003
2010,R24000,éOèdåß,1854724,903398,951326,1812500,881996,930504,253174,129491,123683,1142275,573641,568634,447103,192186,254917,15262,7865,7397,1.51,18691,9674,9017,27619,16071,11548,29211,16688,12523,9396,3461,16.6,32.7,2.3,97,1623.5,9726,1988523,1795,34381,35800,66500,259,1728,20141,423,7153,106337,184,4123,54233,17948,17211,77,3841,51359,16366,8545,4,8,103,1230,1643,13718,780,80,3083,464,44,63,3802,3129,70801,300988,155045,19464,20582,58347,5637530,95740,10084,6224,2788,1043,1075367,799400,114286,158677,653918.0,966,30.6,89,1506,860,411,39006,36,37138,5173,287748,66932,11926,21036,9721,11918,12250,37551,10442,33981,71991
2009,R24000,éOèdåß,1864000,908000,956000,1826000,890000,936000,254000,130000,124000,1172000,589000,583000,445000,191000,254000,15614,7983,7631,1.40,17590,9154,8436,30334,18061,12273,33758,20164,13594,9720,3438,16.3,30.1,2.4,101,1524,9330,1912883,1865,34815,36800,68300,260,1717,20786,429,7202,107830,184,4121,54707,18607,17896,78,3842,51373,16437,8566,4,8,108,1210,1706,13816,770,70,3078,506,45,71,3514,3151,76927,359680,125368,18216,19243,52501,5297640,86560,10608,5878,3859,776,1050893,765167,88134,190627,680084.0,1000,30.1,93,1498,863,422,39081,73,37245,5022,293516,65255,15212,20126,10592,13305,11749,38316,11881,35907,71172
2020,R25000,é†âÍåß,1413610,697429,716181,1359501,669459,690042,191369,98372,92997,824781,418619,406162,365311,162962,202349,10437,5363,5074,1.50,13039,6661,6378,24935,14265,10670,25427,14498,10929,5878,2050,15.8,34.2,2.4,135,1862.5,7234,1412253,496,15143,46500,93600,132,1218,11436,220,5513,81054,103,3113,40601,13242,12741,56,2783,37868,12524,7185,3,9,61,1085,825,31100,361,10,7141,1292,23,10,1792,1067,34885,163248,124093,7425,8163,13938,2484390,53770,8900,4276,2460,1937,826035,509276,189075,119199,425971.0,822,18,50,1100,559,330,35753,495,34237,3704,304172,81180,12435,21491,13705,11649,12620,55097,12135,29293,54566
2019,R25000,é†âÍåß,1416000,699000,717000,1384000,682000,702000,195000,100000,95000,852000,435000,417000,368000,164000,204000,10627,5480,5147,1.47,13221,6718,6503,25679,14708,10971,26090,14733,11357,6439,2095,15.8,32.8,1.6,125,1398.5,7578,1767946,500,14942,46800,89900,138,1350,12486,223,5568,81817,106,3115,40716,13732,13235,56,2827,38792,12752,7195,3,8,62,1064,824,30692,411,3,6783,1159,26,11,2024,1033,35163,144271,168480,9555,10403,53728,4182040,396790,9060,4452,2521,2002,868489,536357,197057,129707,435270.0,837,17.8,50,1091,565,315,35148,459,34089,3799,303491,79385,20657,22786,11335,10478,16230,41618,13629,30122,57251
2018,R25000,é†âÍåß,1414000,698000,716000,1387000,684000,704000,197000,101000,96000,852000,434000,418000,363000,162000,201000,11350,5854,5496,1.55,13246,6732,6514,25535,14608,10927,26077,14813,11264,6455,2060,15.7,33.6,-0.4,127,1863,7720,1719353,502,14884,46400,89200,140,1339,13203,223,5536,82283,106,3086,40961,13978,13495,56,2852,39473,12688,6943,3,8,63,1066,902,30609,430,10,6863,1117,26,11,2247,928,35874,144237,182402,11059,12153,50915,3992700,399860,8980,4445,2323,2161,880634,539601,208165,130584,432758.0,834,18.7,50,1089,556,305,33719,439,32531,3943,276534,78632,10777,22432,11145,10457,13098,35490,12102,28426,53974
2017,R25000,é†âÍåß,1414000,697000,717000,1390000,685000,705000,200000,102000,97000,856000,435000,420000,357000,159000,198000,11598,6012,5586,1.54,13082,6662,6420,24911,14386,10525,25626,14626,11000,6587,2204,14.8,31.8,0.7,148,1895,7451,1725822,506,14492,46500,88200,147,1351,13986,226,5453,82193,107,3124,42021,14299,13890,60,2863,39681,12701,6939,3,8,62,1052,892,30219,386,1,6338,1123,26,11,2385,927,38510,152689,179958,12056,13048,46476,3900830,378470,8978,4251,2755,1961,867010,517425,197844,151024,429912.0,830,18.7,50,1070,556,285,31225,356,31099,3915,282876,78159,13212,23036,13054,11215,11845,39276,11348,29602,52130
2016,R25000,é†âÍåß,1414000,697000,716000,1392000,686000,706000,202000,104000,98000,860000,437000,423000,350000,156000,195000,12072,6143,5929,1.56,12507,6469,6038,24656,14164,10492,25362,14555,10807,6822,2202,15.8,32.9,1.4,124,1628.5,7755,1488042,508,14213,46500,87700,156,1410,15125,227,5388,82412,107,3117,42793,14500,14089,61,2869,39718,12884,7205,3,8,62,1048,879,29445,433,9,6303,1056,26,11,2396,921,41453,163176,169530,12630,13829,44611,3996450,457430,9200,4376,3056,1764,879124,537698,175923,165247,430993.0,831,19.3,50,1062,558,270,29210,339,29388,3790,299756,78255,12168,22048,12619,13329,13093,44974,13693,30638,58940
2015,R25000,é†âÍåß,1412916,696941,715975,1386795,683979,702816,203450,104588,98862,857720,434079,423641,337877,150120,187757,12622,6509,6113,1.61,12507,6353,6154,24916,14374,10542,26903,15582,11321,6855,2321,15.5,31.7,1.1,144,1784,7518,1533951,514,14025,46400,87000,160,1445,15934,227,5368,82872,107,3116,43119,14310,13912,59,2868,39755,12656,6955,3,8,64,1042,896,30620,391,5,6307,1069,26,11,2402,859,44730,174685,155507,13411,14599,39003,3872740,389910,8734,4118,2756,1838,838488,508580,184055,145033,438059.0,843,20.8,50,1046,559,272,29160,346,29020,4006,296258,73510,9608,23393,8860,13456,10867,38472,12990,29980,75121
2014,R25000,é†âÍåß,1414000,698000,717000,1395000,688000,707000,207000,107000,101000,877000,446000,430000,332000,146000,185000,12729,6566,6163,1.53,12266,6304,5962,24554,14035,10519,25443,14544,10899,6990,2240,14.9,31.0,0.1,127,1449.5,7401,1484945,521,14900,46300,86100,193,1703,18999,230,5316,83457,107,3101,43209,14411,13935,59,2872,39510,12360,6861,3,8,64,1044,909,34089,439,12,6774,1110,27,12,2421,919,46691,183427,153969,13810,14879,39541,3743520,222570,8205,4151,2565,1401,800666,513462,147651,134774,441418.0,851,21,51,1035,564,262,27939,441,28849,4638,291015,72906,14126,24382,9472,11247,11664,42631,19138,27563,57887
2013,R25000,é†âÍåß,1415000,699000,717000,1395000,689000,707000,209000,107000,102000,888000,452000,436000,319000,140000,179000,13015,6680,6335,1.53,12233,6317,5916,25699,14623,11076,25842,14931,10911,7465,2329,15.1,33.0,0.3,126,1492,9504,1950630,529,13934,46200,84500,193,1796,19214,231,5297,84374,107,3080,43237,14537,14138,59,2810,38838,12082,6744,3,8,66,1041,956,33818,411,11,7270,1050,27,12,2387,854,52574,214762,149456,14839,16243,41095,3466480,129740,10662,5524,2712,2394,1093962,698898,243156,149821,456649.0,880,19.1,51,1019,558,253,26988,415,27898,4427,271287,66645,13358,21361,9054,11182,11064,42687,14059,31306,50570
2012,R25000,é†âÍåß,1414000,698000,716000,1395000,689000,706000,210000,108000,102000,899000,457000,441000,306000,134000,172000,13236,6720,6516,1.53,12221,6131,6090,26456,14998,11458,25173,14408,10765,7389,2346,14.8,33.4,0.5,135,1737.5,8551,1762910,536,14172,52100,88000,194,1789,19674,233,5292,84910,107,3053,43221,14281,13924,58,2806,38954,12690,7137,4,8,67,1014,1029,33967,510,13,7421,1087,27,12,2345,765,59468,240056,133241,15718,16836,47778,3399940,111710,9646,4967,2608,2021,975347,624430,208918,138679,454032.0,876,19,52,1017,560,252,27052,492,27329,4408,264630,68231,12180,20340,8277,11386,10997,37461,8680,27982,59096
2011,R25000,é†âÍåß,1413000,698000,715000,1393000,688000,705000,211000,109000,102000,908000,462000,446000,295000,128000,167000,13338,6863,6475,1.51,11884,6181,5703,27639,15748,11891,24525,14254,10271,7567,2341,15.0,32.8,-0.5,132,1800.5,8121,1596822,546,14374,52500,88200,193,1695,19416,235,5264,86095,107,3016,43011,14227,13883,58,2784,38606,12067,6915,4,8,70,986,1020,33933,406,8,7396,1192,27,11,2244,657,60720,243513,124888,16187,16961,48512,3386430,79070,8774,4827,2207,1730,906632,611712,178580,115468,453743.0,887,18.8,53,1004,556,234,25097,407,25269,4172,270193,69226,10503,21250,9157,10459,9928,37426,11442,30656,60146
2010,R25000,é†âÍåß,1410777,696769,714008,1376541,678723,697818,210753,108496,102257,897583,453865,443718,288788,125682,163106,13363,6897,6466,1.54,11602,5982,5620,26793,15314,11479,24477,14044,10433,7691,2466,15.3,33.9,1.0,132,1858,8362,1578646,557,14394,53200,90000,192,1651,19278,236,5251,86907,107,2972,42232,13773,13409,58,2802,38706,12186,7067,4,8,78,956,1045,33661,522,26,7461,1289,27,11,2140,659,60399,253910,111404,16246,16699,50301,3179330,119060,9477,4990,2555,1777,947958,629359,181131,130622,454704.0,896,19,53,995,555,236,24802,350,25329,4153,284061,69218,15260,21476,10530,10923,12437,41011,10374,32333,60500
2009,R25000,é†âÍåß,1409000,696000,713000,1384000,683000,700000,210000,109000,102000,910000,463000,448000,284000,123000,161000,13151,6725,6426,1.44,11036,5687,5349,28095,16169,11926,27011,16192,10819,7771,2470,15.0,30.3,1.1,121,1402,7699,1471304,562,14335,54700,90500,192,1596,19558,235,5205,87258,107,2988,42412,14439,14019,58,2768,38126,12092,7121,4,8,86,920,1200,33640,583,17,7423,1385,27,12,1948,520,62132,288501,86739,14522,14956,46502,2501080,88320,9244,4656,3092,1230,875112,595720,125762,136522,465462.0,918,19.5,53,975,548,241,25173,411,25466,4034,315298,70987,10033,22830,9855,13689,14334,58735,12827,33260,68749
2020,R26000,ãûìsï{,2578087,1231468,1346619,2460764,1172585,1288179,293465,150511,142954,1467216,723486,743730,734493,314351,420142,16440,8363,8077,1.26,26860,13718,13142,51753,27667,24086,55681,29895,25786,10197,3742,17.0,36.2,3.3,112,1644.5,9490,2313414,1017,47134,109300,602700,197,2205,22094,371,8395,121712,190,5204,65443,21712,20774,110,5222,67847,22049,15394,11,34,176,10291,3433,141870,1588,237,31639,3738,62,52,16064,4464,60592,312077,312360,12362,12368,30960,11249850,1167800,15707,4576,5410,5639,1233983,512281,473308,242096,743452.0,785,14.3,152,2449,1289,508,58776,48,54203,6785,253880,79072,8686,20662,11732,8888,13433,31929,12487,23448,43543
2019,R26000,ãûìsï{,2592000,1239000,1353000,2532000,1210000,1323000,299000,153000,146000,1531000,759000,772000,753000,322000,430000,16993,8755,8238,1.25,27028,13645,13383,52884,28169,24715,56327,30128,26199,11497,4022,16.9,34.3,1.9,111,1407.5,10160,2403576,995,43379,109100,587300,201,2228,23127,380,8376,123493,191,5141,65551,21903,21035,105,5276,69037,22541,15276,11,34,185,10194,3537,140970,1661,184,31174,3716,62,52,15890,4946,60535,269880,389024,15683,16088,106711,25281610,8949140,15051,4706,5031,5182,1205050,539303,421089,237802,796455.0,836,15.7,154,2451,1299,509,58882,86,57297,6886,257780,74071,10563,19911,9681,9870,13018,30135,14170,25234,51128
2018,R26000,ãûìsï{,2598000,1241000,1356000,2544000,1215000,1328000,304000,156000,148000,1539000,762000,777000,749000,321000,428000,17909,9188,8721,1.29,26654,13516,13138,52628,27835,24793,55618,29902,25716,11491,4046,16.9,35.0,0.4,107,1770,9998,2447681,969,40777,107000,509000,204,2234,23709,385,8430,125952,192,5148,66035,22324,21465,105,5263,70815,23240,15304,12,34,194,10065,3710,141045,1744,181,31613,3874,63,51,15709,5279,63699,276140,391120,17919,18043,100923,17696810,5217010,15322,4648,6196,4245,1177226,534579,351378,280754,799066.0,838,15.9,157,2461,1306,507,58772,75,58923,7760,281401,78346,13207,21492,11162,10982,12194,37058,7512,29710,59739
2017,R26000,ãûìsï{,2604000,1245000,1359000,2554000,1221000,1333000,308000,158000,150000,1548000,766000,782000,743000,318000,424000,18521,9476,9045,1.31,26430,13288,13142,53456,28295,25161,55118,29882,25236,11875,4104,16.0,33.6,1.5,103,1469.5,10068,2563327,921,36189,104000,429400,215,2315,24913,395,8538,128594,198,5251,67723,23014,22298,106,5282,71596,23074,15189,13,34,226,10042,3851,141336,1807,235,31360,3894,64,51,15715,4601,69303,293324,396854,19860,20077,95624,16535370,4685300,15096,4568,6265,4220,1215671,528949,370979,311467,805416.0,843,15.9,158,2459,1308,466,53294,227,52808,7287,249704,75471,13970,20385,9202,8345,12950,29387,8971,23846,47178
2016,R26000,ãûìsï{,2608000,1247000,1361000,2561000,1225000,1336000,312000,160000,152000,1560000,772000,789000,733000,314000,419000,19327,9863,9464,1.34,25830,13117,12713,53759,28732,25027,54509,29724,24785,12143,4222,17.1,34.7,2.0,112,1840,10345,2365619,906,35650,102900,374500,217,2329,25774,399,8622,130041,202,5342,69418,23646,22886,106,5288,72375,23480,15542,13,34,241,9946,4011,141385,1847,232,31540,4046,65,51,15546,4706,73899,320304,368283,20884,20917,90189,15868870,4149930,16223,4630,6435,5054,1299036,536216,453369,303370,809526.0,845,16,159,2471,1313,454,50886,64,51183,7172,274853,79319,17441,21800,9101,11171,11469,29498,15204,29586,50264
2015,R26000,ãûìsï{,2610353,1248972,1361381,2533645,1213342,1320303,313866,160780,153086,1539540,757513,782027,703419,302287,401132,19662,10228,9434,1.35,25495,12905,12590,55488,29453,26035,55767,30592,25175,12458,4434,16.6,33.6,2.2,123,2042.5,10439,2329090,899,33595,102400,339400,220,2361,26924,404,8633,131247,202,5381,70853,24095,23340,105,5280,72131,22813,15151,14,34,249,10027,4107,139709,1896,209,31093,4039,66,52,15541,4504,81204,352367,357733,23206,23285,77865,16242000,4092200,17490,4663,6569,5963,1417723,544942,543885,312690,843788.0,877,15.6,161,2452,1301,448,49963,6,50411,7151,282808,80511,11688,25067,9489,11012,11062,35950,14521,31827,51681
2014,R26000,ãûìsï{,2616000,1252000,1363000,2572000,1232000,1340000,322000,165000,157000,1586000,785000,801000,701000,300000,401000,19583,10025,9558,1.24,25507,12872,12635,53417,28776,24641,54591,29782,24809,12671,4462,16.1,32.6,0.7,104,1377,10057,2353771,909,33596,102000,322300,226,2344,27936,413,8613,132437,201,5369,71783,24120,23364,104,5245,72147,22966,15241,14,34,259,9885,4273,140475,2011,207,30572,4139,65,53,15264,4394,90724,381107,346491,24284,23997,77284,14922940,2948360,16826,4382,7037,5331,1359018,514455,475410,363238,864441.0,901,14.1,162,2459,1309,448,48853,11,50883,7492,304913,83488,12514,24397,10945,14445,11576,40989,17364,29344,59851
2013,R26000,ãûìsï{,2622000,1256000,1366000,2578000,1236000,1342000,326000,167000,159000,1616000,799000,816000,676000,288000,387000,20106,10388,9718,1.26,25332,12822,12510,53307,28507,24800,55280,30097,25183,12746,4581,16.2,35.1,0.4,91,1450.5,11736,2995062,919,33028,101700,313600,229,2336,28817,420,8624,133804,203,5429,72721,24543,23740,104,5192,71047,22250,14591,15,33,256,9681,4334,140617,1949,217,30491,4144,66,56,15127,5074,96440,416688,336478,26424,26176,77640,15086560,2363720,19582,5453,7225,6695,1652990,639376,637552,354506,884106.0,919,14.4,161,2472,1317,441,48413,109,50684,7413,309384,79652,13732,24698,11178,11837,14004,36100,13557,34170,70455
2012,R26000,ãûìsï{,2628000,1260000,1368000,2585000,1240000,1345000,330000,169000,161000,1646000,814000,832000,649000,276000,373000,20111,10442,9669,1.23,25416,12828,12588,53821,28617,25204,54239,29513,24726,13189,4646,15.8,34.5,0.6,112,1562,10229,2185514,936,32522,110600,321200,229,2323,29602,428,8744,135428,204,5391,72382,23751,23045,104,5254,71903,23240,15060,15,33,273,9500,4368,139701,2041,216,30596,4163,64,56,14901,4981,104912,455680,320005,26950,26243,90777,14523860,1652300,16036,4742,5713,5349,1315575,556111,474942,270850,895229.0,928,13.8,161,2484,1319,452,48676,152,50663,7339,271914,73166,18265,23172,10640,12687,12496,30331,8840,29127,53191
